application_id,job_id,candidate_id,application_date,application_status,application_source
1,1,197,2025-12-01,Interview,Referral
2,1,984,2025-12-14,Rejected,Referral
3,1,713,2026-06-28,Interview,Dice
4,1,461,2026-06-10,Applied,Indeed
5,1,139,2026-01-20,Applied,Indeed
6,1,926,2025-11-21,Rejected,Referral
7,1,25,2026-01-28,Interview,LinkedIn
8,1,354,2025-11-11,Applied,Company Website
9,1,770,2026-05-26,Rejected,LinkedIn
10,1,664,2026-03-10,Interview,LinkedIn
11,1,163,2026-03-20,Under Review,LinkedIn
12,1,879,2025-11-01,Under Review,Indeed
13,1,407,2026-04-30,Rejected,Indeed
14,1,800,2026-03-31,Interview,LinkedIn
15,1,270,2026-05-12,Interview,LinkedIn
16,1,836,2026-06-28,Rejected,Company Website
17,1,801,2026-06-16,Applied,Indeed
18,1,438,2026-07-06,Under Review,Company Website
19,1,978,2025-11-12,Under Review,Indeed
20,1,398,2025-10-28,Under Review,Company Website
21,1,198,2026-03-06,Under Review,Company Website
22,1,140,2026-06-21,Interview,Dice
23,1,18,2026-02-16,Rejected,Referral
24,1,493,2026-01-14,Under Review,Dice
25,1,637,2026-04-22,Under Review,Dice
26,1,910,2025-12-18,Interview,Referral
27,2,673,2026-02-25,Under Review,Referral
28,2,663,2026-06-15,Under Review,Indeed
29,2,984,2025-12-17,Under Review,Referral
30,2,875,2026-06-06,Applied,LinkedIn
31,2,345,2025-11-18,Under Review,Company Website
32,2,504,2025-08-31,Applied,Dice
33,2,630,2026-01-20,Under Review,LinkedIn
34,2,642,2026-04-18,Rejected,LinkedIn
35,2,346,2026-04-29,Under Review,LinkedIn
36,2,629,2025-08-12,Applied,Dice
37,2,879,2025-09-14,Under Review,Dice
38,2,172,2026-06-16,Interview,Dice
39,2,975,2025-08-21,Applied,LinkedIn
40,2,436,2025-10-12,Interview,Company Website
41,2,143,2025-09-16,Interview,Referral
42,2,490,2026-01-31,Interview,LinkedIn
43,2,945,2025-10-02,Applied,Indeed
44,2,366,2026-03-22,Interview,Dice
45,2,762,2026-03-26,Applied,Referral
46,2,851,2025-12-01,Applied,LinkedIn
47,2,380,2026-04-25,Interview,Company Website
48,2,502,2025-12-10,Applied,Company Website
49,2,843,2026-03-31,Applied,Referral
50,2,543,2026-02-02,Under Review,Dice
51,2,464,2026-01-31,Under Review,Indeed
52,2,811,2025-11-26,Rejected,Company Website
53,2,362,2025-12-17,Interview,Company Website
54,2,183,2026-06-06,Under Review,LinkedIn
55,2,246,2025-09-07,Under Review,Indeed
56,2,952,2026-01-13,Rejected,Indeed
57,2,558,2025-11-06,Rejected,LinkedIn
58,2,61,2026-03-21,Interview,Referral
59,2,435,2025-09-13,Applied,LinkedIn
60,2,84,2026-06-04,Rejected,Dice
61,2,526,2026-05-15,Interview,Indeed
62,2,210,2025-08-28,Rejected,LinkedIn
63,2,516,2025-11-03,Under Review,LinkedIn
64,2,272,2026-01-24,Applied,Indeed
65,2,532,2026-02-13,Rejected,Referral
66,2,140,2026-05-07,Rejected,Referral
67,2,425,2026-02-14,Rejected,Dice
68,2,564,2026-06-02,Interview,Company Website
69,2,459,2025-08-18,Interview,LinkedIn
70,2,10,2026-02-10,Under Review,Indeed
71,2,638,2026-06-03,Interview,Referral
72,2,203,2025-10-17,Rejected,Referral
73,2,865,2026-04-10,Applied,LinkedIn
74,2,378,2026-03-19,Under Review,Dice
75,2,424,2025-10-05,Interview,Indeed
76,2,716,2025-12-18,Under Review,LinkedIn
77,2,399,2026-06-04,Under Review,Referral
78,2,883,2026-05-03,Interview,Referral
79,2,756,2026-06-12,Applied,Company Website
80,2,467,2025-11-22,Under Review,LinkedIn
81,2,514,2026-03-10,Under Review,Dice
82,2,258,2026-07-01,Under Review,Dice
83,2,400,2025-11-11,Under Review,Company Website
84,2,728,2025-09-02,Under Review,Dice
85,2,534,2025-09-10,Rejected,LinkedIn
86,2,867,2025-12-23,Applied,Referral
87,2,370,2025-10-17,Rejected,Referral
88,2,887,2025-09-29,Rejected,Company Website
89,2,18,2025-12-18,Applied,LinkedIn
90,2,148,2026-01-20,Rejected,Referral
91,2,880,2025-12-19,Applied,Referral
92,2,302,2025-08-29,Rejected,Dice
93,2,428,2025-09-30,Applied,Dice
94,2,347,2026-03-01,Under Review,Dice
95,2,662,2026-06-17,Under Review,Dice
96,2,808,2026-02-10,Under Review,LinkedIn
97,2,958,2026-05-26,Rejected,Dice
98,2,388,2026-04-25,Under Review,LinkedIn
99,2,842,2025-12-10,Applied,LinkedIn
100,2,724,2026-06-01,Interview,Referral
101,3,463,2025-09-29,Interview,LinkedIn
102,3,766,2025-11-18,Rejected,Company Website
103,3,793,2026-01-19,Interview,LinkedIn
104,3,856,2025-10-07,Under Review,LinkedIn
105,3,600,2026-06-23,Interview,LinkedIn
106,3,941,2026-01-26,Applied,Dice
107,3,190,2026-05-04,Applied,Referral
108,3,44,2025-10-18,Interview,Referral
109,3,105,2026-01-21,Applied,Referral
110,3,723,2026-03-18,Under Review,LinkedIn
111,3,370,2025-12-13,Rejected,Indeed
112,3,928,2025-09-28,Rejected,Dice
113,3,107,2026-04-02,Rejected,Referral
114,3,480,2025-10-05,Applied,Dice
115,3,884,2026-06-02,Applied,Indeed
116,3,890,2025-12-18,Under Review,LinkedIn
117,3,237,2026-01-31,Interview,Company Website
118,3,324,2025-11-05,Applied,Referral
119,3,422,2026-03-05,Interview,Referral
120,3,24,2026-04-21,Interview,LinkedIn
121,3,167,2026-01-07,Applied,Company Website
122,3,569,2026-01-02,Interview,Company Website
123,3,340,2026-03-05,Interview,Indeed
124,3,710,2025-12-23,Rejected,LinkedIn
125,3,439,2026-04-20,Interview,LinkedIn
126,3,188,2026-02-08,Interview,Indeed
127,3,380,2025-11-16,Under Review,Indeed
128,3,267,2026-03-31,Applied,Indeed
129,3,458,2026-04-04,Applied,Referral
130,3,214,2026-03-19,Applied,Referral
131,3,81,2026-04-06,Rejected,Dice
132,3,607,2025-11-12,Applied,LinkedIn
133,3,266,2026-02-09,Interview,Dice
134,3,292,2026-07-06,Interview,Indeed
135,3,866,2026-03-04,Under Review,Indeed
136,3,219,2026-06-26,Applied,Referral
137,3,76,2025-11-19,Interview,LinkedIn
138,3,358,2025-10-27,Applied,Referral
139,3,540,2025-10-08,Interview,Dice
140,3,88,2025-11-29,Interview,Indeed
141,3,381,2026-02-06,Rejected,LinkedIn
142,3,598,2026-03-04,Under Review,Indeed
143,3,656,2026-03-13,Applied,Referral
144,3,409,2026-03-07,Applied,Referral
145,3,553,2025-12-18,Interview,Indeed
146,3,263,2026-06-19,Rejected,Referral
147,3,746,2026-06-19,Applied,Company Website
148,3,470,2026-01-25,Applied,Dice
149,3,347,2026-02-08,Rejected,LinkedIn
150,3,363,2026-02-20,Interview,LinkedIn
151,3,311,2026-06-15,Applied,LinkedIn
152,3,685,2026-03-31,Under Review,LinkedIn
153,3,489,2025-11-15,Applied,Dice
154,3,876,2026-03-12,Rejected,Company Website
155,3,880,2026-03-21,Interview,Dice
156,3,690,2026-02-21,Applied,Dice
157,3,580,2026-04-24,Applied,LinkedIn
158,3,46,2026-05-02,Interview,Company Website
159,3,787,2026-07-05,Applied,Referral
160,3,637,2025-12-20,Rejected,Dice
161,3,423,2026-04-09,Rejected,Company Website
162,3,861,2026-06-03,Interview,Company Website
163,3,799,2025-12-01,Rejected,Referral
164,3,426,2026-06-02,Under Review,LinkedIn
165,3,736,2025-09-27,Under Review,Company Website
166,3,615,2026-06-24,Under Review,Indeed
